xp,xv,angle,w
1.640171626309051778e+00,2.307533598248517226e+00,-1.145610698162302377e-01,-5.600108589427961192e-01
1.663099764839640615e+00,2.278037440814149495e+00,-1.200719489879346485e-01,-5.422013552310621654e-01
1.685731283766710442e+00,2.248213796601032044e+00,-1.254058378584381461e-01,-5.246140681144254581e-01
1.708063030066920396e+00,2.218086865361897253e+00,-1.305649951571440648e-01,-5.072561627923937166e-01
1.730092087723908323e+00,2.187679856912180032e+00,-1.355517469425228660e-01,-4.901339498171628506e-01
1.751815768070118962e+00,2.157015038979067434e+00,-1.403684783489752286e-01,-4.732529432868001207e-01
1.773231600595447155e+00,2.126113782721815504e+00,-1.450176259014245850e-01,-4.566179162005075676e-01
1.794337324199623884e+00,2.094996605968653114e+00,-1.495016703693679838e-01,-4.402329530006198199e-01
1.815130878865781838e+00,2.063683214225526807e+00,-1.538231301324478051e-01,-4.241014993429106372e-01
1.835610397733227650e+00,2.032192539520010222e+00,-1.579845550300947588e-01,-4.082264091509059667e-01
1.855774199548117842e+00,2.000542777150055684e+00,-1.619885206684104628e-01,-3.926099890215127286e-01
1.875620781471455611e+00,1.968751420412161890e+00,-1.658376231581790428e-01,-3.772540400586373854e-01
1.895148812224590529e+00,1.936835293387099810e+00,-1.695344742587023557e-01,-3.621598972188367349e-01
1.914357125553198147e+00,1.904810581863787489e+00,-1.730816969030236907e-01,-3.473284662586527682e-01
1.933244713991530972e+00,1.872692862483361864e+00,-1.764819210810223138e-01,-3.327602583773512923e-01
1.951810722909555595e+00,1.840497130186112384e+00,-1.797377800578134899e-01,-3.184554226515122766e-01
1.970054444826417450e+00,1.808237824043835484e+00,-1.828519069058618107e-01,-3.044137763594895185e-01
1.987975313974497560e+00,1.775928851559464894e+00,-1.858269313301990355e-01,-2.906348332943371471e-01
2.005572901099139216e+00,1.743583611514610832e+00,-1.886654767671238631e-01,-2.771178301635397467e-01
2.022846908479918770e+00,1.711215015444014220e+00,-1.913701577377390495e-01,-2.638617511729143827e-01
2.039797165160117220e+00,1.678835507813947192e+00,-1.939435774386485123e-01,-2.508653508904982732e-01
2.056423622371810200e+00,1.646457084979351615e+00,-1.963883255530848859e-01,-2.381271754841994825e-01
2.072726349144722313e+00,1.614091312992053329e+00,-1.987069762666641981e-01,-2.256455824245633401e-01
2.088705528087713148e+00,1.581749344329782314e+00,-2.009020864728641165e-01,-2.134187587412773590e-01
2.104361451332437127e+00,1.549441933613006528e+00,-2.029761941541942394e-01,-2.014447379190709986e-01
2.119694516629378800e+00,1.517179452373786264e+00,-2.049318169258673994e-01,-1.897214155155269033e-01
2.134705223587094469e+00,1.484971902938022614e+00,-2.067714507295903004e-01,-1.782465635800596082e-01
2.149394170046088792e+00,1.452828931479615671e+00,-2.084975686658674665e-01,-1.670178439499812317e-01
2.163762048579324304e+00,1.420759840302208588e+00,-2.101126199539549988e-01,-1.560328204962000420e-01
2.177809643111907612e+00,1.388773599401377234e+00,-2.116190290093090398e-01,-1.452889703877184024e-01
2.191537825653011140e+00,1.356878857357356249e+00,-2.130191946290487526e-01,-1.347836944407396487e-01
2.204947553133572491e+00,1.325083951605680044e+00,-2.143154892765952169e-01,-1.245143266148799333e-01
2.218039864343777090e+00,1.293396918130473860e+00,-2.155102584572561319e-01,-1.144781427157292725e-01
2.230815876964763689e+00,1.261825500622562712e+00,-2.166058201771027814e-01,-1.046723683598313887e-01
2.243276784689401726e+00,1.230377159142079790e+00,-2.176044644780308901e-01,-9.509418625506389777e-02
2.255423854427373698e+00,1.199059078322857852e+00,-2.185084530424118432e-01,-8.574074284640977039e-02
2.267258423590155836e+00,1.167878175153579168e+00,-2.193200188612258461e-01,-7.660915437422299856e-02
2.278781897451833238e+00,1.136841106368442933e+00,-2.200413659600262417e-01,-6.769651238931040371e-02
2.289995746581996450e+00,1.105954275477984750e+00,-2.206746691775130775e-01,-5.899988876648132319e-02
2.300901504347268478e+00,1.075223839468653519e+00,-2.212220739918986934e-01,-5.051634025565824443e-02
2.311500764478280345e+00,1.044655715197810864e+00,-2.216856963906257139e-01,-4.224291260719480884e-02
2.321795178699181506e+00,1.014255585508976321e+00,-2.220676227793531299e-01,-3.417664430571279444e-02
2.331786454416998389e+00,9.840289050903772150e-01,-2.223699099264581369e-01,-2.631456994454473008e-02
2.341476352468384814e+00,9.539809060982011868e-01,-2.225945849396109288e-01,-1.865372327075236897e-02
2.350866684921513183e+00,9.241166035643612053e-01,-2.227436452712699688e-01,-1.119113992868041307e-02
2.359959312931040998e+00,8.944408006070850847e-01,-2.228190587502147657e-01,-3.923859928097205019e-03
2.368756144644270201e+00,8.649580934612230987e-01,-2.228227636364847331e-01,3.151070138833909386e-03
2.377259133156771398e+00,8.356728763438259211e-01,-2.227566686973264376e-01,1.003659510922003811e-02
